City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
359,Erenhot,CN,43.6475,111.9767,52.66,28,100,9.4,overcast clouds
360,Narsaq,GL,60.9167,-46.05,57.42,75,100,1.86,overcast clouds
361,Saint George,US,37.1041,-113.5841,91.26,20,0,8.05,clear sky
362,Kokstad,ZA,-30.5472,29.4241,54.03,91,99,4.18,overcast clouds
363,Lazaro Cardenas,MX,17.9583,-102.2,75.94,95,100,3.6,overcast clouds
364,Santa Elena,EC,-2.2333,-80.85,71.15,78,75,10.36,broken clouds
365,Deputatskiy,RU,69.3,139.9,27.64,98,100,3.76,overcast clouds
366,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,85.93,64,99,1.25,overcast clouds
367,Tarko-Sale,RU,64.9225,77.785,48.11,91,100,15.86,overcast clouds
368,Naze,JP,28.3667,129.4833,77.65,85,100,19.98,overcast clouds
369,Ponta Do Sol,PT,32.6667,-17.1,74.71,97,70,3.33,broken clouds
370,Tura,IN,25.5198,90.2201,74.86,94,84,1.92,broken clouds
371,Nuevo Casas Grandes,MX,30.4167,-107.9167,81.75,43,85,11.3,overcast clouds
372,Kamaishi,JP,39.2667,141.8833,75.63,97,100,13.71,light rain
373,Hithadhoo,MV,-0.6,73.0833,81.64,75,100,9.57,overcast clouds
374,La Asuncion,VE,11.0333,-63.8628,84.56,70,95,7.72,overcast clouds
375,Coleraine,GB,55.1333,-6.6667,58.91,88,21,7.23,few clouds
376,Mhango,TZ,-3.2833,32.85,73.65,57,79,5.01,broken clouds
377,Tynda,RU,55.1667,124.7167,29.79,60,98,14.25,overcast clouds
378,Genhe,CN,50.7833,121.5167,30.72,81,100,8.46,overcast clouds
379,Rawson,AR,-43.3002,-65.1023,46.78,59,100,18.9,overcast clouds
380,Condega,NI,13.365,-86.3985,80.89,75,57,1.68,broken clouds
381,Gloversville,US,43.0528,-74.3438,77.52,77,100,5.99,overcast clouds
382,Henties Bay,NA,-22.116,14.2845,54.66,89,10,15.86,clear sky
383,Progreso,MX,21.2833,-89.6667,93.11,70,2,15.88,clear sky
384,Eureka,US,40.8021,-124.1637,61.93,90,100,8.01,overcast clouds
