City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Pecos,US,2022-09-12 22:35:24,31.4229,-103.4932,89.69,27,0,4.61
267,Nouadhibou,MR,2022-09-12 22:35:25,20.931,-17.0347,73.38,83,56,16.11
268,Port-Gentil,GA,2022-09-12 22:35:25,-0.7193,8.7815,75.47,82,26,12.15
269,Ipora,BR,2022-09-12 22:35:25,-16.4419,-51.1178,83.82,20,45,3.06
270,Axim,GH,2022-09-12 22:35:26,4.8699,-2.2405,73.71,88,92,7.67
271,Batticaloa,LK,2022-09-12 22:35:26,7.7102,81.6924,79.5,77,100,0.83
272,Hailar,CN,2022-09-12 22:35:26,49.2,119.7,50.83,51,39,7.4
273,Boralday,KZ,2022-09-12 22:35:26,43.3578,76.8594,49.86,76,40,4.47
274,Isangel,VU,2022-09-12 22:35:27,-19.55,169.2667,80.49,65,13,11.63
275,Paita,PE,2022-09-12 22:35:27,-5.0892,-81.1144,65.17,76,37,20.07
276,Beloha,MG,2022-09-12 22:35:27,-25.1667,45.05,63.37,97,10,4.18
277,Chuy,UY,2022-09-12 22:35:28,-33.6971,-53.4616,55.18,90,74,7.43
278,Havoysund,NO,2022-09-12 22:36:28,70.9963,24.6622,37.63,70,100,7.76
279,Morehead,US,2022-09-12 22:36:28,37.2711,-87.1764,74.95,38,40,4.61
280,Young,UY,2022-09-12 22:36:28,-32.6833,-57.6333,51.98,68,0,4.43
281,Port Hardy,CA,2022-09-12 22:36:29,50.6996,-127.4199,59.18,88,75,4.61
282,Quatre Cocos,MU,2022-09-12 22:36:29,-20.2078,57.7625,69.1,77,28,7.85
283,Leningradskiy,RU,2022-09-12 22:36:29,69.3833,178.4167,40.33,83,99,9.48
284,Prainha,BR,2022-09-12 22:36:30,-1.8,-53.48,81.97,56,26,4.12
285,Mariani,IN,2022-09-12 22:36:30,26.6667,94.3333,73.69,94,56,3.18
286,Xuddur,SO,2022-09-12 22:36:30,4.1213,43.8894,71.62,73,97,17.34
287,Arauca,CO,2022-09-12 22:36:31,7.0847,-70.7591,76.96,94,75,0.0
288,Abay,KZ,2022-09-12 22:36:31,49.6311,72.8539,26.98,62,1,5.03
289,Sonoita,MX,2022-09-12 22:36:31,31.85,-112.8333,91.8,30,66,11.77
290,Lardos,GR,2022-09-12 22:36:31,36.0942,28.0157,78.94,69,0,14.5
291,Severodvinsk,RU,2022-09-12 22:36:32,64.5635,39.8302,48.31,87,100,8.61
292,Xam Nua,LA,2022-09-12 22:36:32,20.4197,104.0439,64.2,99,98,1.25
293,Monrovia,LR,2022-09-12 22:36:32,6.3005,-10.7969,76.35,84,55,9.4
294,Yilan,TW,2022-09-12 22:36:32,24.757,121.753,80.37,99,100,9.53
